federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,base_and_all_options_value,potential_total_value_of_award,action_date_fiscal_year,awarding_office_name,funding_office_name,recipient_parent_name,recipient_city_name,recipient_state_name,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,product_or_service_code_description,naics_description,place_of_manufacture,solicitation_procedures,organizational_type,corporate_entity_not_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,educational_institution
0.0,1510595.2,0.0,0.0,3445824.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC OF MISSION SUPT (OMS) (FUNDING),JYG INNOVATIONS LLC,DAYTON,OHIO,CINCINNATI,OH,FIRM FIXED PRICE,SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION,FACILITIES SUPPORT SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7600000.0,3175552.01,0.0,15904460.05,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1092100.0,0.0,0.0,3234038.61,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC RESEARCH  DEV (ORD) (FUNDING),"MPF FEDERAL, LLC",GAITHERSBURG,MARYLAND,CHAPEL HILL,NC,FIRM FIXED PRICE,SUPPORT- MANAGEMENT: OTHER,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
58072.0,654072.0,0.0,0.0,3117990.61,2021,CINCINNATI ACQUISITION DIV (CAD),OFC CHEMSFTYPOLLPREV(OCSPP) (FUND),AVANTI CORPORATION,ALEXANDRIA,VIRGINIA,WASHINGTON,DC,TIME AND MATERIALS,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
-59629.29,7764505.43,0.0,0.0,11233010.0,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,ROCKVILLE,MD,FIRM FIXED PRICE,MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
200000.0,200000.0,306461.56,3133655.28,3133655.28,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC GENERAL COUNSEL (OGC) (FUNDING),"ADVANCED TECHNOLOGY LEADERS, INC.",MARTINEZ,GEORGIA,WASHINGTON,DC,TIME AND MATERIALS,SUPPORT- ADMINISTRATIVE: OTHER,OFFICE ADMINISTRATIVE SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
-125588.0,1508761.0,-125588.0,-125588.0,1508761.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC CHEMSFTYPOLLPREV(OCSPP) (FUND),SUMMITEC CORP,KNOXVILLE,TENNESSEE,KNOXVILLE,TN,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
17894267.0,17894267.0,17894267.0,17894267.0,17894267.0,2021,REGION 7 CONTRACTING OFFICE,REGION 7 (FUNDING OFFICE),AYUDA MC2 JV LLC,DENVER,COLORADO,HASTINGS,NE,FIRM FIXED PRICE,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,PARTNERSHIP,f,t,f,f
35007.0,35007.0,35007.0,35007.0,35007.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),PARS ENVIRONMENTAL INC,ROBBINSVILLE,NEW JERSEY,TRENTON,NJ,FIRM FIXED PRICE,OTHER ENVIRONMENTAL SERVICES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
1343237.0,1343237.0,1343237.0,1343237.0,1343237.0,2021,REGION 5 CONTRACTING OFFICE,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,FIRM FIXED PRICE,IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,MFG IN U.S.,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
